iter	Passed	Remaining
0	165	165394
1	166	83167
2	168	55954
3	169	42305
4	172	34270
5	173	28708
6	174	24717
7	175	21740
8	176	19415
9	177	17570
10	178	16053
11	179	14790
12	180	13721
13	182	12818
14	183	12043
15	184	11372
16	186	10767
17	187	10224
18	188	9728
19	189	9283
20	190	8886
21	191	8530
22	192	8198
23	194	7895
24	195	7616
25	196	7366
26	199	7198
27	201	7009
28	203	6828
29	205	6657
30	207	6498
31	210	6359
32	212	6224
33	214	6106
34	217	6001
35	219	5882
36	221	5771
37	223	5655
38	225	5550
39	228	5483
40	230	5395
41	232	5298
42	233	5204
43	235	5110
44	236	5017
45	237	4927
46	239	4858
47	241	4797
48	243	4735
49	245	4659
50	246	4590
51	247	4517
52	249	4454
53	250	4385
54	251	4325
55	253	4273
56	255	4230
57	256	4171
58	258	4114
59	259	4060
60	260	4008
61	261	3956
62	262	3906
63	263	3855
64	264	3806
65	265	3760
66	267	3721
67	269	3692
68	270	3655
69	271	3613
70	273	3572
71	273	3531
72	274	3490
73	275	3450
74	276	3411
75	277	3373
76	278	3336
77	279	3300
78	280	3269
79	281	3238
80	283	3221
81	285	3195
82	285	3158
83	286	3128
84	287	3097
85	288	3069
86	290	3043
87	291	3016
88	292	2989
89	292	2962
90	293	2935
91	295	2912
92	297	2903
93	299	2882
94	300	2859
95	301	2837
96	302	2815
97	303	2795
98	304	2772
99	305	2749
100	306	2726
101	307	2704
102	307	2681
103	308	2659
104	309	2640
105	312	2637
106	314	2621
107	315	2602
108	316	2583
109	316	2563
110	317	2545
111	318	2528
112	319	2508
113	320	2489
114	320	2469
115	321	2451
116	322	2431
117	323	2414
118	324	2401
119	326	2394
120	327	2382
121	328	2365
122	329	2349
123	330	2334
124	331	2320
125	332	2305
126	333	2289
127	333	2273
128	334	2258
129	335	2243
130	335	2228
131	336	2213
132	337	2200
133	339	2191
134	342	2192
135	343	2179
136	343	2166
137	344	2153
138	345	2142
139	347	2132
140	347	2119
141	348	2105
142	349	2091
143	349	2078
144	350	2065
145	350	2052
146	351	2040
147	352	2029
148	354	2022
149	356	2019
150	357	2010
151	358	1999
152	359	1989
153	360	1977
154	361	1970
155	362	1959
156	362	1948
157	363	1936
158	364	1925
159	364	1915
160	365	1903
161	365	1892
162	366	1881
163	367	1872
164	368	1863
165	370	1863
166	384	1916
167	386	1915
168	388	1908
169	389	1901
170	390	1893
171	391	1886
172	393	1881
173	394	1874
174	395	1866
175	397	1860
176	399	1857
177	402	1856
178	403	1850
179	404	1843
180	405	1835
181	406	1829
182	408	1823
183	409	1816
184	410	1808
185	411	1801
186	413	1796
187	415	1795
188	417	1790
189	418	1783
190	419	1776
191	420	1770
192	422	1765
193	423	1758
194	424	1752
195	425	1745
